Date,StockName,CurrentPrice,Sector,MarketCap,Volume,PERatio,DividendYield,Momentum,Volatility,RelativeStrength,MarketMovementClass
2023-01-26,TechnologyStock1,197.78,Technology,14142218214.5,244876.6,19.64,0.0597,0.96,0.0413,65.76,2
2023-01-27,TechnologyStock1,197.78,Technology,2031925605.81,374038.65,16.93,0.0195,-0.08,0.0341,89.2,4
2023-01-28,TechnologyStock1,197.78,Technology,15760151098.47,507610.72,30.96,0.0394,0.63,0.0857,28.08,4
2023-01-29,TechnologyStock1,183.93,Technology,11937572317.93,185339.57,47.32,0.0763,-0.22,0.0714,1.55,1
2023-01-30,TechnologyStock1,189.45,Technology,8220320364.39,966988.27,48.36,0.0682,-0.85,0.1515,85.11,6
2023-01-31,TechnologyStock1,189.45,Technology,3368396551.6,561233.25,47.13,0.0557,-0.88,0.0154,61.5,4
2023-02-01,TechnologyStock1,212.19,Technology,3154834879.33,523146.36,44.48,0.0593,1.08,0.1054,35.95,8
2023-02-02,TechnologyStock1,207.94,Technology,16869607739.69,812012.26,44.02,0.0731,0.52,0.3853,79.83,2
2023-02-03,TechnologyStock1,207.94,Technology,14658768212.05,797834.74,45.05,0.027,-0.77,0.0237,57.83,4
2023-02-04,TechnologyStock1,193.39,Technology,9107334543.73,547218.19,17.89,0.0473,-0.47,0.1089,12.71,1
2023-02-05,TechnologyStock1,193.39,Technology,14935036107.15,223662.82,33.03,0.0068,0.05,0.0652,54.06,4
2023-02-06,TechnologyStock1,193.39,Technology,14094521043.34,976093.56,28.23,0.0258,-0.66,0.0852,43.9,4
2023-02-07,TechnologyStock1,185.65,Technology,651580351.99,963021.93,42.62,0.0557,-1.2,0.0335,15.64,2
2023-02-08,TechnologyStock1,181.94,Technology,10074480084.59,717449.96,34.71,0.0224,2.12,0.1032,41.96,2
2023-02-09,TechnologyStock1,178.3,Technology,6461761518.12,760267.65,5.65,0.0093,0.44,0.0775,47.42,2
2023-01-01,TechnologyStock2,57.94,Technology,2773742103.31,181469.85,24.52,0.0319,1.54,0.1323,4.53,4
2023-01-02,TechnologyStock2,57.94,Technology,3647830617.71,508104.9,43.54,0.0527,-0.2,0.0061,58.58,4
2023-01-03,TechnologyStock2,59.68,Technology,3459585932.65,394288.23,33.95,0.0367,0.69,0.0071,38.61,6
2023-01-04,TechnologyStock2,63.85,Technology,5787095462.86,203833.22,8.12,0.0081,-0.49,0.0208,31.9,7
2023-01-05,TechnologyStock2,64.49,Technology,213079245.89,816323.8,17.68,0.0095,0.95,0.1453,87.75,5
2023-01-06,TechnologyStock2,64.49,Technology,5194549716.88,289214.23,12.98,0.06,-1.79,0.1221,77.64,4
2023-01-07,TechnologyStock2,64.49,Technology,6007182753.39,859828.62,24.3,0.0601,-0.41,0.0262,90.26,4
2023-01-08,TechnologyStock2,64.49,Technology,5341250068.98,326849.11,45.3,0.0311,-0.27,0.0613,95.01,4
2023-01-09,TechnologyStock2,69.01,Technology,3986577361.74,635518.84,25.18,0.0235,1.2,0.1197,75.24,7
2023-01-10,TechnologyStock2,69.01,Technology,5463461442.56,100294.04,27.25,0.0046,-2.09,0.177,88.77,4
2023-01-11,TechnologyStock2,69.01,Technology,868777003.96,151561.77,39.27,0.0495,-0.43,0.0204,82.19,4
2023-01-12,TechnologyStock2,69.01,Technology,624759834.56,93989.34,49.4,0.0299,1.15,0.0477,94.72,4
2023-01-13,TechnologyStock2,73.84,Technology,5580991614.5,382496.99,8.76,0.0622,-2.04,0.157,90.64,7
2023-01-14,TechnologyStock2,70.88,Technology,3527904671.18,21240.11,26.09,0.0045,1.27,0.0771,58.34,2
2023-01-15,TechnologyStock2,75.85,Technology,2890665598.14,292854.97,44.09,0.0179,0.07,0.0984,99.3,7
2023-01-16,TechnologyStock2,72.81,Technology,4065229653.66,969609.51,28.54,0.0504,-0.43,0.186,62.76,2
2023-01-17,TechnologyStock2,72.81,Technology,6568742644.66,54991.92,17.64,0.076,-0.11,0.0976,62.01,4
2023-01-18,TechnologyStock2,71.36,Technology,1400292323.93,469061.42,20.9,0.0467,-1.91,0.0362,81.38,2
2023-01-19,TechnologyStock2,71.36,Technology,1220123960.04,911817.91,42.01,0.076,0.74,0.1477,41.82,4
2023-01-20,TechnologyStock2,73.5,Technology,6375137523.85,54766.48,6.19,0.0301,0.3,0.1097,38.09,6
2023-01-21,TechnologyStock2,78.64,Technology,6634973196.07,839945.42,26.09,0.0332,-0.11,0.0055,86.47,7
2023-01-22,TechnologyStock2,79.43,Technology,7940580632.08,996670.47,29.99,0.0615,-0.31,0.1599,12.92,5
2023-01-23,TechnologyStock2,84.99,Technology,5185225411.84,236356.38,35.23,0.0495,-0.83,0.0304,67.16,7
2023-01-24,TechnologyStock2,84.99,Technology,6583127211.0,524961.87,43.35,0.0442,1.03,0.0166,40.35,4
2023-01-25,TechnologyStock2,81.59,Technology,314073505.02,757585.88,32.91,0.0563,-0.43,0.0342,1.45,2
2023-01-26,TechnologyStock2,81.59,Technology,4846504861.32,398321.6,24.69,0.0723,0.2,0.2171,78.37,4
2023-01-27,TechnologyStock2,81.59,Technology,5106342230.54,863740.07,47.73,0.0118,-0.01,0.0796,25.82,4
2023-01-28,TechnologyStock2,81.59,Technology,7997562841.43,497691.91,19.79,0.0507,-0.12,0.0075,12.89,4
2023-01-29,TechnologyStock2,78.32,Technology,1256203634.08,147438.9,33.84,0.0146,0.75,0.0291,47.4,2
2023-01-30,TechnologyStock2,78.32,Technology,1414521822.11,200366.13,6.84,0.0135,-0.82,0.0559,8.87,4
2023-01-31,TechnologyStock2,75.19,Technology,3505228833.04,214270.38,21.39,0.0403,-0.1,0.0042,79.94,2
2023-02-01,TechnologyStock2,75.19,Technology,683806107.1,874842.84,46.44,0.0049,0.85,0.062,74.83,4
2023-02-02,TechnologyStock2,73.69,Technology,1600916408.96,376767.38,26.8,0.0495,-0.63,0.2192,74.75,2
2023-02-03,TechnologyStock2,68.53,Technology,1781178550.86,716216.09,45.28,0.0409,-0.97,0.0079,44.74,1
2023-02-04,TechnologyStock2,68.53,Technology,1713561621.12,276550.8,21.98,0.0016,-1.06,0.0654,32.75,4
2023-02-05,TechnologyStock2,65.79,Technology,5865866538.97,597656.53,35.56,0.0631,-0.87,0.0003,53.71,2
2023-02-06,TechnologyStock2,65.79,Technology,4920897656.31,437342.95,10.74,0.0227,1.4,0.131,57.08,4
2023-02-07,TechnologyStock2,65.79,Technology,6491044112.97,609717.07,15.68,0.0081,-0.46,0.0626,16.07,4
2023-02-08,TechnologyStock2,64.47,Technology,1884184382.31,181639.86,45.35,0.0064,-2.5,0.0685,98.24,2
2023-02-09,TechnologyStock2,61.89,Technology,2499757468.96,969775.73,43.95,0.0654,-0.72,0.0533,66.86,2
2023-01-01,TechnologyStock3,465.39,Technology,26801893999.02,287179.3,39.63,0.015,-0.76,0.1805,50.76,4
2023-01-02,TechnologyStock3,456.09,Technology,5641261665.59,614513.84,17.99,0.0465,-0.07,0.1211,53.26,2
2023-01-03,TechnologyStock3,437.84,Technology,15028442300.38,143070.53,7.85,0.0792,1.01,0.0577,25.46,2
2023-01-04,TechnologyStock3,437.84,Technology,33391019306.07,599682.35,26.22,0.0329,0.58,0.0203,83.06,4
2023-01-05,TechnologyStock3,468.49,Technology,6233483879.83,733558.8,47.23,0.0145,0.09,0.0156,57.45,7
2023-01-06,TechnologyStock3,473.18,Technology,7020744606.55,797314.64,14.07,0.0131,0.39,0.0421,66.52,5
2023-01-07,TechnologyStock3,473.18,Technology,17282413207.73,878428.54,22.66,0.0653,-2.04,0.1008,46.27,4
2023-01-08,TechnologyStock3,473.18,Technology,35494568128.66,507693.19,15.45,0.072,0.83,0.2211,90.65,4
2023-01-09,TechnologyStock3,473.18,Technology,5949207664.39,940433.8,33.25,0.0268,0.34,0.0415,62.01,4
2023-01-10,TechnologyStock3,473.18,Technology,42347132349.96,790711.24,11.83,0.0249,0.83,0.0856,3.35,4
2023-01-11,TechnologyStock3,473.18,Technology,36190176496.69,877997.98,20.39,0.0657,-0.27,0.0979,79.73,4
2023-01-12,TechnologyStock3,454.25,Technology,10763851139.19,725030.04,37.4,0.0513,0.41,0.1877,25.18,2
2023-01-13,TechnologyStock3,454.25,Technology,8620830683.0,909366.06,31.25,0.0321,0.65,0.0056,15.34,4
2023-01-14,TechnologyStock3,454.25,Technology,23204430278.66,615339.69,5.81,0.0698,0.11,0.0726,69.67,4
2023-01-15,TechnologyStock3,467.88,Technology,33227062214.35,161013.65,30.93,0.0485,1.59,0.0511,93.44,6
2023-01-16,TechnologyStock3,481.91,Technology,21991208346.3,122105.67,49.32,0.0671,0.06,0.1094,59.13,6
2023-01-17,TechnologyStock3,481.91,Technology,3094560779.64,341845.27,41.13,0.0004,-1.01,0.1655,53.74,4
2023-01-18,TechnologyStock3,496.37,Technology,17516064275.98,353483.67,38.19,0.0362,-0.26,0.1503,14.09,6
2023-01-19,TechnologyStock3,486.44,Technology,24486794209.32,424736.2,46.17,0.029,1.85,0.1127,1.31,2
2023-01-20,TechnologyStock3,486.44,Technology,9060283725.8,961459.61,11.69,0.0332,2.57,0.0059,6.71,4
2023-01-21,TechnologyStock3,486.44,Technology,10595058337.84,899073.75,14.23,0.0153,-0.03,0.0543,56.48,4
2023-01-22,TechnologyStock3,466.99,Technology,36320863880.3,458755.95,28.6,0.0353,1.25,0.2073,15.52,2
2023-01-23,TechnologyStock3,457.65,Technology,39502534755.35,946654.31,21.8,0.0217,-1.11,0.1752,2.54,2
2023-01-24,TechnologyStock3,448.49,Technology,32238249430.93,662334.7,6.22,0.0178,0.72,0.1129,1.97,2
2023-01-25,TechnologyStock3,430.55,Technology,34526808723.64,186759.22,34.37,0.0191,-0.24,0.0375,72.23,2
2023-01-26,TechnologyStock3,434.86,Technology,36176685962.47,403211.69,35.06,0.0164,0.59,0.031,1.3,5
2023-01-27,TechnologyStock3,417.46,Technology,9009194931.76,36266.88,13.16,0.0466,0.92,0.0185,81.74,2
2023-01-28,TechnologyStock3,417.46,Technology,11139174794.94,385895.48,31.56,0.0214,-1.28,0.1755,55.2,4
2023-01-29,TechnologyStock3,417.46,Technology,12587438969.62,948968.77,39.36,0.0112,-0.04,0.1103,89.46,4
2023-01-30,TechnologyStock3,417.46,Technology,17991112067.69,32244.62,17.09,0.0433,-1.35,0.0743,13.94,4
2023-01-31,TechnologyStock3,421.64,Technology,41512837123.88,530433.28,12.73,0.0218,0.2,0.0978,27.41,5
2023-02-01,TechnologyStock3,421.64,Technology,27613415745.52,831444.39,14.29,0.0009,0.26,0.0983,60.05,4
2023-02-02,TechnologyStock3,421.64,Technology,7742037415.27,915267.83,23.84,0.0307,-0.62,0.0026,16.63,4
2023-02-03,TechnologyStock3,421.64,Technology,3877844976.69,607120.59,16.04,0.0311,-0.92,0.1352,71.9,4
2023-02-04,TechnologyStock3,413.21,Technology,23583370751.85,481289.9,34.87,0.0749,-0.86,0.07,3.12,2
2023-02-05,TechnologyStock3,404.94,Technology,24261195247.32,60911.56,27.34,0.0477,1.15,0.0703,10.66,2
2023-02-06,TechnologyStock3,388.74,Technology,28413613434.52,500536.4,35.98,0.0348,0.71,0.0562,79.94,2
2023-02-07,TechnologyStock3,388.74,Technology,10862446277.41,594328.36,21.24,0.0073,-0.07,0.0621,18.51,4
2023-02-08,TechnologyStock3,388.74,Technology,33984693911.93,734902.64,41.3,0.0527,0.83,0.0459,24.97,4
2023-02-09,TechnologyStock3,388.74,Technology,8902149351.38,987791.33,47.48,0.0032,0.43,0.0208,18.06,4
2023-01-01,TechnologyStock4,296.94,Technology,1294860506.79,700446.06,18.38,0.074,1.13,0.008,84.45,6
2023-01-02,TechnologyStock4,296.94,Technology,24664780553.53,46637.56,31.83,0.0184,-1.04,0.1278,72.48,4
2023-01-03,TechnologyStock4,285.06,Technology,9182987566.68,544096.38,40.58,0.0255,0.87,0.0283,61.59,2
2023-01-04,TechnologyStock4,279.36,Technology,954213857.61,871397.89,5.96,0.07,0.71,0.0047,79.88,2
2023-01-05,TechnologyStock4,312.89,Technology,11176454653.46,769516.41,23.09,0.0384,0.92,0.0314,98.41,8
2023-01-06,TechnologyStock4,312.89,Technology,13253533797.3,427143.43,38.19,0.0191,-0.3,0.0805,28.72,4
2023-01-07,TechnologyStock4,306.63,Technology,7398084907.91,51672.26,5.8,0.079,-1.93,0.1207,67.96,2
2023-01-08,TechnologyStock4,300.5,Technology,28561013412.16,788481.56,9.02,0.0334,2.31,0.0664,16.7,2
2023-01-09,TechnologyStock4,336.56,Technology,8055630710.15,943304.46,34.23,0.0486,-1.57,0.0074,17.65,8
2023-01-10,TechnologyStock4,329.82,Technology,6417526741.45,781788.63,20.76,0.0046,-0.37,0.1174,75.82,2
2023-01-11,TechnologyStock4,329.82,Technology,5354932806.82,817674.79,15.1,0.0179,2.36,0.0938,58.01,4
2023-01-12,TechnologyStock4,316.63,Technology,27821991545.8,272944.04,10.83,0.0711,0.54,0.1084,55.09,2
2023-01-13,TechnologyStock4,303.97,Technology,12595416634.78,378961.63,16.69,0.0579,-0.84,0.0008,22.02,2
2023-01-14,TechnologyStock4,303.97,Technology,2594947714.23,852694.84,27.28,0.0384,1.21,0.0343,34.78,4
2023-01-15,TechnologyStock4,303.97,Technology,17328355131.23,274357.99,44.54,0.0638,0.93,0.0422,86.73,4
2023-01-16,TechnologyStock4,303.97,Technology,25491937339.47,700496.75,35.61,0.0495,-0.65,0.0481,88.09,4
2023-01-17,TechnologyStock4,307.01,Technology,1195936391.65,827558.58,10.8,0.0268,-0.69,0.0495,81.8,5
2023-01-18,TechnologyStock4,310.08,Technology,15888086600.6,16322.01,17.92,0.0494,0.02,0.009,25.98,5
2023-01-19,TechnologyStock4,310.08,Technology,16886298299.26,782046.94,9.81,0.0609,0.54,0.0048,34.19,4
2023-01-20,TechnologyStock4,310.08,Technology,28921045088.79,111484.63,47.18,0.055,-0.19,0.0405,70.82,4
2023-01-21,TechnologyStock4,297.67,Technology,17454025386.07,352424.23,32.94,0.0037,0.37,0.0526,2.46,2
2023-01-22,TechnologyStock4,276.84,Technology,9145944453.03,493756.76,39.67,0.0547,-1.7,0.0406,99.71,1
2023-01-23,TechnologyStock4,276.84,Technology,12647893024.51,171987.58,40.77,0.0555,1.12,0.1311,27.33,4
2023-01-24,TechnologyStock4,296.21,Technology,4726022836.56,438011.45,47.46,0.0336,-1.23,0.166,27.42,7
2023-01-25,TechnologyStock4,316.95,Technology,13161033017.03,895158.21,15.35,0.017,0.07,0.0229,36.85,7
2023-01-26,TechnologyStock4,320.12,Technology,15316984494.11,968511.49,13.35,0.0695,0.71,0.0723,84.48,5
2023-01-27,TechnologyStock4,320.12,Technology,20166157297.04,139932.43,6.46,0.0737,1.25,0.0491,48.15,4
2023-01-28,TechnologyStock4,307.31,Technology,4115980727.72,688709.63,24.36,0.016,-0.74,0.0014,58.2,2
2023-01-29,TechnologyStock4,301.17,Technology,24080894262.18,317258.34,25.48,0.0009,-0.17,0.0688,47.99,2
2023-01-30,TechnologyStock4,301.17,Technology,8997271225.49,698032.07,43.71,0.0624,-0.02,0.0571,10.49,4
2023-01-31,TechnologyStock4,295.14,Technology,29124751173.93,151070.59,27.45,0.0495,0.52,0.1782,0.98,2
2023-02-01,TechnologyStock4,295.14,Technology,15422324959.78,96987.83,20.78,0.0027,-0.18,0.0732,13.27,4
2023-02-02,TechnologyStock4,295.14,Technology,20440839739.95,802580.83,14.01,0.0134,0.28,0.0799,70.65,4
2023-02-03,TechnologyStock4,274.48,Technology,25715082661.89,61451.57,29.36,0.0567,0.39,0.0681,80.17,1
2023-02-04,TechnologyStock4,274.48,Technology,22416513054.7,89313.7,45.27,0.0438,-0.2,0.1317,64.36,4
2023-02-05,TechnologyStock4,274.48,Technology,20154672047.92,90813.68,7.72,0.0198,-1.03,0.0529,78.97,4
2023-02-06,TechnologyStock4,274.48,Technology,13812437110.51,559809.92,37.36,0.0183,-1.13,0.0564,68.02,4
2023-02-07,TechnologyStock4,263.51,Technology,1063137109.7,265106.06,25.82,0.0695,0.93,0.0873,42.55,2
2023-02-08,TechnologyStock4,263.51,Technology,9942795450.37,987773.07,6.8,0.0694,-1.56,0.2002,72.53,4
2023-02-09,TechnologyStock4,263.51,Technology,23048502138.73,901694.85,23.98,0.0221,0.8,0.0179,21.07,4
2023-01-01,TechnologyStock5,315.25,Technology,23195790941.87,140252.01,37.21,0.0727,-0.55,0.0672,97.14,4
2023-01-02,TechnologyStock5,308.95,Technology,26441091381.39,497355.08,16.13,0.0697,0.77,0.2849,35.92,2
2023-01-03,TechnologyStock5,308.95,Technology,5310474478.14,397170.72,48.62,0.0207,-1.29,0.1161,77.35,4
2023-01-04,TechnologyStock5,296.59,Technology,28772932454.87,459251.65,15.62,0.0059,0.08,0.1283,33.7,2
2023-01-05,TechnologyStock5,299.56,Technology,13077997949.48,256227.13,32.77,0.0565,-0.35,0.0349,3.67,5
2023-01-06,TechnologyStock5,299.56,Technology,19985406797.95,479884.57,42.99,0.0645,1.03,0.0239,20.58,4
2023-01-07,TechnologyStock5,287.57,Technology,7967305615.57,66515.99,28.9,0.0749,0.73,0.0081,31.62,2
2023-01-08,TechnologyStock5,287.57,Technology,1471147376.73,156859.77,49.4,0.0772,0.92,0.0346,45.47,4
2023-01-09,TechnologyStock5,287.57,Technology,14204963760.85,670195.61,11.28,0.0024,1.11,0.104,20.19,4
2023-01-10,TechnologyStock5,287.57,Technology,27900826094.01,102961.71,35.27,0.0355,-0.19,0.0217,69.26,4
2023-01-11,TechnologyStock5,290.45,Technology,27452406735.95,686415.55,27.37,0.0494,0.2,0.1051,3.04,5
2023-01-12,TechnologyStock5,299.16,Technology,20721005830.24,679748.25,14.71,0.0527,1.63,0.1146,10.66,6
2023-01-13,TechnologyStock5,299.16,Technology,29898986132.07,57729.92,48.97,0.0326,0.32,0.0422,56.7,4
2023-01-14,TechnologyStock5,299.16,Technology,26318322656.42,410098.92,19.72,0.0534,0.6,0.0701,79.78,4
2023-01-15,TechnologyStock5,299.16,Technology,24521111945.24,129006.96,29.5,0.0005,-1.1,0.144,39.62,4
2023-01-16,TechnologyStock5,299.16,Technology,11807161221.89,454206.69,15.69,0.0299,1.64,0.101,61.95,4
2023-01-17,TechnologyStock5,299.16,Technology,11547349752.75,864700.31,28.36,0.0383,-1.39,0.1645,58.02,4
2023-01-18,TechnologyStock5,299.16,Technology,18303601961.81,767234.43,41.58,0.0574,0.76,0.0281,24.35,4
2023-01-19,TechnologyStock5,308.14,Technology,2146637453.85,935091.67,20.82,0.0081,-1.69,0.0098,28.49,6
2023-01-20,TechnologyStock5,308.14,Technology,24805007156.85,543769.66,19.01,0.0488,-0.99,0.0941,41.35,4
2023-01-21,TechnologyStock5,295.81,Technology,5600857422.74,684306.68,13.16,0.042,-0.6,0.032,56.73,2
2023-01-22,TechnologyStock5,289.9,Technology,27925671121.48,488710.19,41.27,0.044,0.13,0.0429,95.14,2
2023-01-23,TechnologyStock5,289.9,Technology,23800423923.88,885364.4,15.26,0.017,-1.4,0.175,83.99,4
2023-01-24,TechnologyStock5,298.59,Technology,10745997160.09,244501.85,40.12,0.022,-0.29,0.1248,66.75,6
2023-01-25,TechnologyStock5,286.65,Technology,17990733747.03,457250.0,31.4,0.0134,0.63,0.0414,21.67,2
2023-01-26,TechnologyStock5,275.18,Technology,919174363.78,645551.79,32.32,0.0437,-0.56,0.137,59.45,2
2023-01-27,TechnologyStock5,275.18,Technology,27185616348.75,145075.36,36.28,0.0323,1.68,0.0554,69.24,4
2023-01-28,TechnologyStock5,308.21,Technology,4225820833.61,113068.55,37.6,0.0463,-0.38,0.0204,8.57,8
2023-01-29,TechnologyStock5,311.29,Technology,6224159374.0,330137.85,15.2,0.0284,0.03,0.077,6.76,5
2023-01-30,TechnologyStock5,314.4,Technology,7588847325.68,544611.8,44.6,0.0521,-1.99,0.0374,33.3,5
2023-01-31,TechnologyStock5,314.4,Technology,31257660502.86,665220.8,30.1,0.0585,-0.71,0.0056,56.23,4
2023-02-01,TechnologyStock5,336.41,Technology,6174781003.68,693104.84,14.04,0.0429,-0.11,0.0904,75.62,7
2023-02-02,TechnologyStock5,336.41,Technology,22480943666.55,797495.46,46.72,0.0188,-1.09,0.0316,99.25,4
2023-02-03,TechnologyStock5,346.5,Technology,18868978608.28,843612.96,28.44,0.0499,0.19,0.0309,12.77,6
2023-02-04,TechnologyStock5,349.97,Technology,27444614600.89,711657.25,6.63,0.0243,-0.79,0.1331,8.76,5
2023-02-05,TechnologyStock5,360.47,Technology,20123475652.3,312469.07,22.86,0.0358,0.39,0.2493,91.94,6
2023-02-06,TechnologyStock5,360.47,Technology,35766658653.37,852910.71,14.38,0.0744,0.08,0.0099,38.06,4
2023-02-07,TechnologyStock5,364.07,Technology,31651353178.54,807866.15,40.55,0.0244,-0.17,0.0756,17.35,5
2023-02-08,TechnologyStock5,364.07,Technology,12838508749.78,975854.1,33.84,0.0658,-0.03,0.0818,60.63,4
2023-02-09,TechnologyStock5,364.07,Technology,6665761488.45,507540.42,22.94,0.0117,-0.61,0.0187,2.58,4
2023-01-01,TechnologyStock6,81.57,Technology,4519129063.5,966163.94,24.46,0.0249,-2.89,0.0293,10.57,7
2023-01-02,TechnologyStock6,81.57,Technology,1826119401.51,623392.08,34.26,0.0122,-0.69,0.0063,99.49,4
2023-01-03,TechnologyStock6,78.3,Technology,5466352089.34,983842.14,15.76,0.0114,-0.37,0.0707,10.1,2
2023-01-04,TechnologyStock6,78.3,Technology,561203008.25,514327.91,49.85,0.0651,-1.53,0.0912,62.39,4
2023-01-05,TechnologyStock6,78.3,Technology,3381385527.64,139403.27,44.9,0.036,-0.51,0.1171,41.41,4
2023-01-06,TechnologyStock6,79.09,Technology,5823079363.32,771611.84,5.5,0.0333,-0.39,0.0015,25.98,5
2023-01-07,TechnologyStock6,79.09,Technology,1152617912.94,539957.03,14.68,0.001,-0.99,0.0031,54.8,4
2023-01-08,TechnologyStock6,79.09,Technology,6690163131.91,107101.75,26.97,0.012,1.17,0.0863,47.6,4
2023-01-09,TechnologyStock6,79.09,Technology,3167724764.21,464852.3,40.33,0.0714,1.14,0.1121,43.76,4
2023-01-10,TechnologyStock6,77.51,Technology,6529615182.5,48042.09,45.58,0.0369,1.41,0.1214,89.51,2
2023-01-11,TechnologyStock6,77.51,Technology,4788292613.84,75985.52,28.33,0.012,0.09,0.1722,68.02,4
2023-01-12,TechnologyStock6,72.08,Technology,677156826.48,719160.15,8.24,0.0057,-0.8,0.1299,29.65,1
2023-01-13,TechnologyStock6,72.08,Technology,5600009993.54,664756.9,13.33,0.0139,0.28,0.0708,76.44,4
2023-01-14,TechnologyStock6,70.64,Technology,217113230.52,91349.95,48.55,0.0236,0.61,0.1311,38.19,2
2023-01-15,TechnologyStock6,69.23,Technology,901138089.63,618862.84,39.86,0.0515,-0.58,0.0039,96.85,2
2023-01-16,TechnologyStock6,69.23,Technology,2076057759.37,980170.63,32.08,0.0466,0.75,0.0593,65.65,4
2023-01-17,TechnologyStock6,66.46,Technology,2292013902.05,928802.8,15.11,0.0298,-1.74,0.1948,61.29,2
2023-01-18,TechnologyStock6,68.45,Technology,1699543301.93,130286.36,13.89,0.071,-1.34,0.0913,81.59,6
2023-01-19,TechnologyStock6,69.14,Technology,5863039217.32,919737.27,16.35,0.0604,1.21,0.014,72.85,5
2023-01-20,TechnologyStock6,69.14,Technology,4560185865.34,185654.48,29.53,0.0788,-0.09,0.0086,72.6,4
2023-01-21,TechnologyStock6,69.83,Technology,1545803044.01,510794.17,42.83,0.0586,2.3,0.1075,50.84,5
2023-01-22,TechnologyStock6,68.43,Technology,3896234926.09,691996.45,44.3,0.0509,-0.62,0.0478,46.16,2
2023-01-23,TechnologyStock6,58.17,Technology,1478646314.04,729197.1,49.63,0.0079,1.29,0.0423,20.4,0
2023-01-24,TechnologyStock6,58.17,Technology,4279498121.78,619825.6,13.46,0.0284,0.28,0.1455,0.52,4
2023-01-25,TechnologyStock6,58.17,Technology,261503461.98,748276.44,14.11,0.0766,-1.45,0.1106,14.89,4
2023-01-26,TechnologyStock6,58.17,Technology,5106288960.38,996370.99,21.57,0.0359,0.59,0.0339,59.3,4
2023-01-27,TechnologyStock6,58.17,Technology,2434215634.45,698661.97,5.14,0.0496,1.17,0.0573,9.3,4
2023-01-28,TechnologyStock6,58.17,Technology,2827809668.52,645902.27,7.92,0.0464,1.86,0.1887,60.35,4
2023-01-29,TechnologyStock6,58.17,Technology,4693630450.39,277122.51,42.13,0.0399,1.12,0.0649,70.77,4
2023-01-30,TechnologyStock6,58.17,Technology,3036818232.64,445797.01,11.64,0.0263,-0.84,0.0135,22.06,4
