UserID,Age_Group,Income_Level,Primary_Financial_Goal,Risk_Tolerance,Stocks,Bonds,Real Estate,Mutual Funds,ETFs,Cryptocurrency,Recommended_Strategy
20,46-55,Medium,Wealth Accumulation,Moderate-Aggressive,29,55,8,3,2,3,Aggressive Growth
21,56-65,High,Education,Aggressive,98,1,1,0,0,0,High-Risk Aggressive
22,18-25,Medium-High,Home Purchase,Balanced,35,3,58,0,1,3,Balanced Growth
23,46-55,High,Home Purchase,Moderate-Aggressive,77,10,8,1,0,4,Aggressive Growth
24,26-35,Medium-Low,Short-term Savings,Moderate-Conservative,75,25,0,0,0,0,Conservative Growth
25,65+,Medium-High,Retirement,Moderate-Conservative,59,10,21,8,1,1,Conservative Growth
26,56-65,Medium,Education,Balanced,79,17,3,0,1,0,Balanced Growth
27,46-55,Medium-High,Short-term Savings,Conservative,72,16,2,2,5,3,Low-Risk Preservation
28,18-25,Low,Education,Conservative,36,57,3,3,1,0,Low-Risk Preservation
29,18-25,Medium-High,Retirement,Conservative,36,10,49,1,2,2,Low-Risk Preservation
30,36-45,Low,Retirement,Moderate-Conservative,71,9,20,0,0,0,Conservative Growth
31,36-45,Medium-High,Short-term Savings,Conservative,78,5,10,6,0,1,Low-Risk Preservation
32,26-35,Low,Retirement,Aggressive,62,23,3,2,5,5,High-Risk Aggressive
33,46-55,Medium-Low,Wealth Accumulation,Moderate-Aggressive,86,11,2,1,0,0,Aggressive Growth
34,46-55,High,Home Purchase,Moderate-Conservative,39,27,15,11,2,6,Conservative Growth
35,65+,Medium,Short-term Savings,Balanced,26,70,0,2,1,1,Balanced Growth
36,65+,Medium-High,Education,Balanced,80,14,3,3,0,0,Balanced Growth
37,65+,High,Wealth Accumulation,Moderate-Aggressive,55,6,6,20,5,8,Aggressive Growth
38,36-45,Medium,Short-term Savings,Moderate-Conservative,21,21,57,0,0,1,Conservative Growth
39,46-55,Medium,Retirement,Conservative,65,14,4,9,7,1,Low-Risk Preservation
40,46-55,Low,Retirement,Conservative,31,18,39,12,0,0,Low-Risk Preservation
41,18-25,Medium-Low,Retirement,Aggressive,22,0,8,21,2,47,High-Risk Aggressive
42,36-45,Medium-Low,Retirement,Aggressive,2,39,15,23,3,18,High-Risk Aggressive
43,56-65,High,Education,Conservative,48,22,17,7,5,1,Low-Risk Preservation
44,36-45,Medium-Low,Wealth Accumulation,Balanced,83,12,0,0,5,0,Balanced Growth
45,56-65,Medium-High,Home Purchase,Balanced,66,19,11,2,0,2,Balanced Growth
46,18-25,Medium-Low,Education,Aggressive,44,27,29,0,0,0,High-Risk Aggressive
47,26-35,High,Education,Moderate-Aggressive,17,72,2,9,0,0,Aggressive Growth
48,46-55,Medium-Low,Home Purchase,Conservative,67,6,20,5,2,0,Low-Risk Preservation
49,18-25,Medium-High,Home Purchase,Aggressive,19,13,30,36,0,2,High-Risk Aggressive
50,46-55,Low,Retirement,Aggressive,85,6,0,2,1,6,High-Risk Aggressive
51,65+,High,Education,Conservative,36,36,22,4,1,1,Low-Risk Preservation
52,26-35,Low,Short-term Savings,Conservative,91,7,1,0,1,0,Low-Risk Preservation
53,26-35,Low,Home Purchase,Balanced,37,61,0,1,1,0,Balanced Growth
54,18-25,Low,Home Purchase,Moderate-Aggressive,21,26,3,9,36,5,Aggressive Growth
55,26-35,Medium,Wealth Accumulation,Moderate-Aggressive,40,17,20,9,2,12,Aggressive Growth
56,56-65,Medium,Short-term Savings,Conservative,86,10,2,2,0,0,Low-Risk Preservation
57,26-35,Low,Short-term Savings,Moderate-Conservative,25,65,5,1,4,0,Conservative Growth
58,46-55,High,Home Purchase,Aggressive,77,18,4,1,0,0,High-Risk Aggressive
59,46-55,Medium-High,Retirement,Aggressive,42,44,5,4,2,3,High-Risk Aggressive
60,46-55,Medium-High,Wealth Accumulation,Conservative,87,7,1,2,2,1,Low-Risk Preservation
61,46-55,Medium-Low,Short-term Savings,Moderate-Conservative,75,4,2,6,7,6,Conservative Growth
62,56-65,High,Home Purchase,Balanced,26,58,10,3,3,0,Balanced Growth
63,36-45,Medium,Short-term Savings,Conservative,33,9,15,36,2,5,Low-Risk Preservation
64,65+,Low,Wealth Accumulation,Conservative,50,43,0,0,7,0,Low-Risk Preservation
65,18-25,Medium-Low,Wealth Accumulation,Aggressive,61,10,26,2,1,0,High-Risk Aggressive
66,46-55,Medium-High,Education,Conservative,6,13,41,19,12,9,Low-Risk Preservation
67,26-35,Medium,Home Purchase,Conservative,52,41,1,5,0,1,Low-Risk Preservation
68,46-55,Medium,Wealth Accumulation,Conservative,62,1,2,33,2,0,Low-Risk Preservation
69,26-35,Low,Education,Aggressive,33,30,8,11,1,17,High-Risk Aggressive
70,65+,Medium-High,Education,Balanced,16,58,15,10,1,0,Balanced Growth
71,65+,High,Short-term Savings,Balanced,73,10,12,2,2,1,Balanced Growth
72,65+,Medium,Short-term Savings,Conservative,17,55,27,1,0,0,Low-Risk Preservation
73,26-35,Low,Education,Aggressive,98,0,1,1,0,0,High-Risk Aggressive
74,46-55,High,Short-term Savings,Balanced,35,48,0,4,3,10,Balanced Growth
75,65+,Medium-High,Wealth Accumulation,Balanced,21,67,6,3,0,3,Balanced Growth
76,56-65,Medium,Retirement,Balanced,80,20,0,0,0,0,Balanced Growth
77,26-35,High,Wealth Accumulation,Aggressive,56,12,14,12,5,1,High-Risk Aggressive
78,26-35,High,Education,Aggressive,13,75,7,2,3,0,High-Risk Aggressive
79,46-55,High,Education,Conservative,56,44,0,0,0,0,Low-Risk Preservation
80,26-35,Medium,Wealth Accumulation,Moderate-Aggressive,60,25,15,0,0,0,Aggressive Growth
81,26-35,Medium,Short-term Savings,Balanced,97,0,2,1,0,0,Balanced Growth
82,65+,Medium-Low,Short-term Savings,Moderate-Aggressive,67,33,0,0,0,0,Aggressive Growth
83,46-55,Medium-High,Education,Aggressive,15,79,3,3,0,0,High-Risk Aggressive
84,65+,Low,Home Purchase,Aggressive,33,35,9,10,7,6,High-Risk Aggressive
85,65+,High,Short-term Savings,Aggressive,55,44,1,0,0,0,High-Risk Aggressive
86,46-55,Medium-Low,Wealth Accumulation,Moderate-Aggressive,1,38,23,21,12,5,Aggressive Growth
87,18-25,Low,Short-term Savings,Aggressive,8,2,42,22,5,21,High-Risk Aggressive
88,65+,Medium-Low,Wealth Accumulation,Conservative,44,37,1,17,1,0,Low-Risk Preservation
89,56-65,Medium,Education,Aggressive,10,59,12,17,0,2,High-Risk Aggressive
90,56-65,High,Short-term Savings,Moderate-Conservative,78,2,8,6,4,2,Conservative Growth
91,26-35,Low,Wealth Accumulation,Moderate-Aggressive,54,22,0,3,0,21,Aggressive Growth
92,56-65,Low,Education,Moderate-Conservative,47,17,3,4,26,3,Conservative Growth
93,26-35,Low,Home Purchase,Aggressive,50,14,29,7,0,0,High-Risk Aggressive
94,18-25,Low,Wealth Accumulation,Conservative,33,35,22,10,0,0,Low-Risk Preservation
95,46-55,Low,Home Purchase,Balanced,25,40,32,2,1,0,Balanced Growth
96,46-55,Medium-Low,Home Purchase,Aggressive,26,8,14,46,4,2,High-Risk Aggressive
97,46-55,High,Retirement,Conservative,73,2,10,2,8,5,Low-Risk Preservation
98,56-65,Medium,Short-term Savings,Moderate-Aggressive,50,35,5,5,5,0,Aggressive Growth
99,18-25,Medium,Wealth Accumulation,Moderate-Conservative,23,62,5,5,4,1,Conservative Growth
100,56-65,Medium,Home Purchase,Moderate-Conservative,42,18,9,15,6,10,Conservative Growth
101,56-65,Medium,Retirement,Moderate-Conservative,86,7,0,0,4,3,Conservative Growth
102,18-25,Medium-Low,Education,Moderate-Aggressive,87,8,4,1,0,0,Aggressive Growth
103,18-25,Medium-High,Wealth Accumulation,Conservative,90,8,0,2,0,0,Low-Risk Preservation
104,18-25,High,Home Purchase,Moderate-Aggressive,36,24,12,16,6,6,Aggressive Growth
105,18-25,Low,Short-term Savings,Moderate-Conservative,9,51,37,2,1,0,Conservative Growth
106,46-55,Medium-High,Retirement,Aggressive,70,10,9,5,3,3,High-Risk Aggressive
107,36-45,Medium,Home Purchase,Balanced,84,2,10,1,1,2,Balanced Growth
108,36-45,Medium-High,Short-term Savings,Moderate-Aggressive,83,12,3,2,0,0,Aggressive Growth
109,18-25,High,Home Purchase,Moderate-Aggressive,74,21,2,0,2,1,Aggressive Growth
110,36-45,Low,Wealth Accumulation,Conservative,39,36,23,2,0,0,Low-Risk Preservation
111,36-45,Low,Wealth Accumulation,Conservative,94,6,0,0,0,0,Low-Risk Preservation
112,18-25,High,Wealth Accumulation,Moderate-Aggressive,53,24,16,6,1,0,Aggressive Growth
113,36-45,High,Retirement,Moderate-Conservative,76,23,1,0,0,0,Conservative Growth
114,56-65,Medium,Wealth Accumulation,Balanced,37,9,26,12,0,16,Balanced Growth
115,26-35,Low,Short-term Savings,Conservative,86,12,2,0,0,0,Low-Risk Preservation
116,26-35,Medium-High,Home Purchase,Moderate-Conservative,34,65,0,0,0,1,Conservative Growth
117,18-25,Medium-Low,Education,Aggressive,75,20,4,1,0,0,High-Risk Aggressive
118,46-55,Medium-Low,Short-term Savings,Conservative,14,42,19,16,7,2,Low-Risk Preservation
119,18-25,High,Short-term Savings,Moderate-Conservative,90,7,0,1,0,2,Conservative Growth
120,46-55,Medium,Wealth Accumulation,Moderate-Conservative,26,19,11,44,0,0,Conservative Growth
121,26-35,Medium-Low,Retirement,Balanced,14,45,16,22,0,3,Balanced Growth
122,18-25,Low,Home Purchase,Balanced,73,3,7,5,11,1,Balanced Growth
123,65+,High,Retirement,Aggressive,17,75,1,4,2,1,High-Risk Aggressive
124,56-65,Medium-High,Home Purchase,Moderate-Conservative,20,45,12,23,0,0,Conservative Growth
125,36-45,High,Home Purchase,Moderate-Conservative,94,5,1,0,0,0,Conservative Growth
126,46-55,Medium-High,Retirement,Balanced,93,2,0,5,0,0,Balanced Growth
127,65+,High,Short-term Savings,Conservative,42,40,8,1,6,3,Low-Risk Preservation
128,36-45,High,Home Purchase,Conservative,69,0,31,0,0,0,Low-Risk Preservation
129,36-45,High,Retirement,Moderate-Aggressive,63,0,32,0,1,4,Aggressive Growth
130,18-25,Medium-High,Home Purchase,Balanced,72,24,1,1,2,0,Balanced Growth
131,36-45,Medium-High,Education,Moderate-Aggressive,7,2,41,25,24,1,Aggressive Growth
132,56-65,High,Short-term Savings,Balanced,15,77,0,3,4,1,Balanced Growth
133,65+,Medium-Low,Wealth Accumulation,Aggressive,27,51,13,5,4,0,High-Risk Aggressive
134,36-45,Medium,Home Purchase,Moderate-Conservative,83,4,11,2,0,0,Conservative Growth
135,18-25,Medium,Education,Aggressive,53,40,4,1,1,1,High-Risk Aggressive
136,56-65,Medium,Wealth Accumulation,Balanced,65,0,33,0,1,1,Balanced Growth
137,26-35,Medium-High,Wealth Accumulation,Moderate-Conservative,40,40,6,11,3,0,Conservative Growth
138,65+,Medium-High,Home Purchase,Conservative,94,4,0,0,2,0,Low-Risk Preservation
139,36-45,Medium-Low,Retirement,Conservative,96,0,0,1,3,0,Low-Risk Preservation
140,18-25,Medium,Home Purchase,Moderate-Aggressive,90,4,2,4,0,0,Aggressive Growth
141,26-35,Medium,Education,Balanced,47,0,32,19,0,2,Balanced Growth
142,26-35,High,Wealth Accumulation,Balanced,46,35,15,1,1,2,Balanced Growth
143,46-55,Medium-High,Home Purchase,Conservative,47,29,7,1,6,10,Low-Risk Preservation
144,56-65,Medium,Retirement,Aggressive,90,4,2,1,1,2,High-Risk Aggressive
145,36-45,Medium-Low,Home Purchase,Moderate-Conservative,46,41,4,4,3,2,Conservative Growth
146,18-25,Medium-Low,Short-term Savings,Aggressive,3,67,1,21,8,0,High-Risk Aggressive
147,46-55,Medium,Retirement,Aggressive,5,19,75,0,0,1,High-Risk Aggressive
148,56-65,Medium-High,Education,Conservative,100,0,0,0,0,0,Low-Risk Preservation
149,46-55,Medium-Low,Wealth Accumulation,Conservative,19,55,21,3,0,2,Low-Risk Preservation
150,65+,High,Home Purchase,Conservative,3,37,54,4,2,0,Low-Risk Preservation
151,56-65,Medium-Low,Retirement,Moderate-Aggressive,74,14,10,2,0,0,Aggressive Growth
152,56-65,Low,Short-term Savings,Aggressive,33,6,29,22,6,4,High-Risk Aggressive
153,36-45,Low,Retirement,Balanced,0,32,17,34,13,4,Balanced Growth
154,56-65,Medium-High,Short-term Savings,Moderate-Conservative,81,11,1,3,0,4,Conservative Growth
155,46-55,Medium,Education,Moderate-Aggressive,67,6,17,3,2,5,Aggressive Growth
156,56-65,Medium-High,Wealth Accumulation,Balanced,61,29,8,2,0,0,Balanced Growth
157,36-45,Medium-High,Education,Aggressive,87,12,0,0,1,0,High-Risk Aggressive
158,36-45,Medium-High,Home Purchase,Conservative,53,45,2,0,0,0,Low-Risk Preservation
159,65+,Medium-High,Retirement,Aggressive,21,7,65,1,6,0,High-Risk Aggressive
160,46-55,High,Short-term Savings,Moderate-Conservative,29,2,0,8,29,32,Conservative Growth
161,26-35,High,Short-term Savings,Moderate-Aggressive,95,2,0,2,0,1,Aggressive Growth
162,26-35,Medium-Low,Retirement,Moderate-Aggressive,76,24,0,0,0,0,Aggressive Growth
163,56-65,Low,Retirement,Moderate-Conservative,86,9,3,0,1,1,Conservative Growth
164,65+,Medium-High,Home Purchase,Balanced,53,25,14,5,2,1,Balanced Growth
165,18-25,Medium-Low,Education,Balanced,30,30,10,28,1,1,Balanced Growth
166,56-65,Low,Short-term Savings,Moderate-Aggressive,19,23,19,39,0,0,Aggressive Growth
167,65+,Medium,Home Purchase,Moderate-Aggressive,74,20,3,0,3,0,Aggressive Growth
168,46-55,High,Education,Conservative,63,29,1,3,0,4,Low-Risk Preservation
169,46-55,Low,Home Purchase,Balanced,37,62,0,0,0,1,Balanced Growth
170,46-55,Medium,Short-term Savings,Moderate-Conservative,3,61,5,31,0,0,Conservative Growth
171,46-55,Low,Retirement,Balanced,34,27,37,1,0,1,Balanced Growth
172,46-55,High,Retirement,Conservative,19,70,10,0,0,1,Low-Risk Preservation
173,65+,High,Education,Moderate-Aggressive,19,47,6,24,2,2,Aggressive Growth
174,65+,Medium-Low,Wealth Accumulation,Moderate-Aggressive,82,5,1,6,3,3,Aggressive Growth
175,36-45,Medium-High,Education,Conservative,34,5,22,31,7,1,Low-Risk Preservation
176,26-35,Low,Wealth Accumulation,Moderate-Conservative,41,20,32,0,0,7,Conservative Growth
177,46-55,Low,Home Purchase,Moderate-Aggressive,94,2,0,2,0,2,Aggressive Growth
178,18-25,Medium,Home Purchase,Aggressive,20,28,29,9,6,8,High-Risk Aggressive
179,65+,High,Short-term Savings,Moderate-Aggressive,93,6,0,0,0,1,Aggressive Growth
180,18-25,Low,Wealth Accumulation,Aggressive,27,48,0,6,16,3,High-Risk Aggressive
181,18-25,High,Short-term Savings,Conservative,60,11,13,12,0,4,Low-Risk Preservation
182,18-25,Low,Retirement,Conservative,22,66,5,2,1,4,Low-Risk Preservation
183,36-45,Medium-Low,Wealth Accumulation,Moderate-Aggressive,7,68,15,3,5,2,Aggressive Growth
184,65+,Medium-High,Education,Balanced,69,18,5,6,0,2,Balanced Growth
185,18-25,Low,Retirement,Aggressive,95,1,2,0,2,0,High-Risk Aggressive
186,46-55,High,Retirement,Moderate-Conservative,9,80,5,3,2,1,Conservative Growth
187,56-65,Medium-Low,Education,Moderate-Aggressive,77,19,2,1,0,1,Aggressive Growth
188,18-25,Low,Retirement,Moderate-Conservative,98,1,0,0,0,1,Conservative Growth
189,36-45,Medium,Wealth Accumulation,Moderate-Aggressive,40,2,31,8,13,6,Aggressive Growth
190,65+,Medium-High,Short-term Savings,Balanced,87,6,5,2,0,0,Balanced Growth
191,36-45,Low,Retirement,Balanced,68,23,6,0,3,0,Balanced Growth
192,18-25,Medium-Low,Wealth Accumulation,Balanced,93,0,5,2,0,0,Balanced Growth
193,65+,Medium,Home Purchase,Balanced,97,3,0,0,0,0,Balanced Growth
194,56-65,Medium-Low,Wealth Accumulation,Conservative,47,32,8,0,4,9,Low-Risk Preservation
195,18-25,Medium-Low,Short-term Savings,Conservative,31,47,17,1,1,3,Low-Risk Preservation
196,36-45,Medium,Wealth Accumulation,Aggressive,71,16,8,3,0,2,High-Risk Aggressive
197,26-35,Medium-Low,Education,Moderate-Conservative,82,4,5,2,7,0,Conservative Growth
198,46-55,Medium,Short-term Savings,Moderate-Aggressive,43,15,42,0,0,0,Aggressive Growth
199,36-45,Low,Home Purchase,Moderate-Aggressive,58,19,1,9,0,13,Aggressive Growth
200,65+,Medium,Education,Conservative,5,43,17,9,9,17,Low-Risk Preservation
201,18-25,Medium,Wealth Accumulation,Moderate-Aggressive,85,9,6,0,0,0,Aggressive Growth
202,46-55,Medium-High,Short-term Savings,Conservative,43,21,27,1,2,6,Low-Risk Preservation
203,18-25,Medium,Home Purchase,Aggressive,41,50,4,4,1,0,High-Risk Aggressive
204,65+,Medium,Education,Moderate-Conservative,90,4,3,2,0,1,Conservative Growth
205,18-25,Low,Home Purchase,Aggressive,0,67,27,1,5,0,High-Risk Aggressive
206,26-35,Medium-High,Wealth Accumulation,Balanced,3,73,13,2,6,3,Balanced Growth
207,46-55,High,Home Purchase,Balanced,62,37,0,0,0,1,Balanced Growth
208,46-55,Low,Retirement,Balanced,77,7,4,5,2,5,Balanced Growth
209,65+,Low,Education,Aggressive,59,28,9,1,0,3,High-Risk Aggressive
210,26-35,High,Home Purchase,Moderate-Aggressive,29,7,52,6,1,5,Aggressive Growth
211,36-45,Medium,Wealth Accumulation,Moderate-Conservative,40,39,12,3,5,1,Conservative Growth
212,18-25,Medium-Low,Wealth Accumulation,Balanced,54,18,19,9,0,0,Balanced Growth
213,56-65,Medium-High,Home Purchase,Balanced,77,20,2,0,0,1,Balanced Growth
214,18-25,Medium-Low,Wealth Accumulation,Balanced,46,53,1,0,0,0,Balanced Growth
215,18-25,High,Short-term Savings,Moderate-Conservative,89,0,3,4,4,0,Conservative Growth
216,36-45,Low,Short-term Savings,Balanced,14,86,0,0,0,0,Balanced Growth
217,18-25,Low,Short-term Savings,Moderate-Conservative,46,7,0,45,1,1,Conservative Growth
218,26-35,Medium-High,Retirement,Balanced,68,3,10,17,1,1,Balanced Growth
219,26-35,Low,Home Purchase,Aggressive,90,6,3,1,0,0,High-Risk Aggressive
220,46-55,Low,Retirement,Aggressive,25,59,13,1,2,0,High-Risk Aggressive
221,65+,Medium-High,Wealth Accumulation,Moderate-Conservative,62,8,23,4,1,2,Conservative Growth
222,56-65,Medium-High,Retirement,Aggressive,67,5,20,4,3,1,High-Risk Aggressive
223,18-25,High,Wealth Accumulation,Moderate-Conservative,44,24,19,9,0,4,Conservative Growth
224,18-25,Low,Wealth Accumulation,Aggressive,79,8,11,1,0,1,High-Risk Aggressive
225,36-45,Low,Education,Aggressive,44,5,48,2,1,0,High-Risk Aggressive
226,65+,High,Short-term Savings,Moderate-Conservative,40,37,6,13,2,2,Conservative Growth
227,26-35,Medium,Wealth Accumulation,Moderate-Aggressive,93,1,3,2,1,0,Aggressive Growth
228,56-65,Medium,Education,Aggressive,61,17,19,3,0,0,High-Risk Aggressive
229,46-55,Medium,Short-term Savings,Balanced,66,12,18,3,1,0,Balanced Growth
230,26-35,High,Wealth Accumulation,Moderate-Aggressive,83,4,12,1,0,0,Aggressive Growth
231,65+,Low,Wealth Accumulation,Moderate-Conservative,33,13,2,9,33,10,Conservative Growth
232,46-55,High,Retirement,Moderate-Aggressive,28,54,5,13,0,0,Aggressive Growth
233,36-45,High,Retirement,Conservative,19,2,22,26,11,20,Low-Risk Preservation
234,36-45,Medium,Short-term Savings,Conservative,47,8,13,11,12,9,Low-Risk Preservation
235,18-25,Medium-Low,Wealth Accumulation,Aggressive,27,56,11,3,2,1,High-Risk Aggressive
236,65+,Low,Home Purchase,Aggressive,84,15,1,0,0,0,High-Risk Aggressive
237,56-65,Medium,Retirement,Balanced,94,6,0,0,0,0,Balanced Growth
238,46-55,Medium-Low,Short-term Savings,Moderate-Aggressive,26,38,29,5,1,1,Aggressive Growth
239,26-35,Medium-Low,Wealth Accumulation,Conservative,33,39,21,4,1,2,Low-Risk Preservation
240,65+,Medium-High,Wealth Accumulation,Aggressive,47,20,9,7,5,12,High-Risk Aggressive
241,65+,Low,Home Purchase,Moderate-Aggressive,11,36,47,0,5,1,Aggressive Growth
242,36-45,Medium-Low,Short-term Savings,Aggressive,1,51,0,30,12,6,High-Risk Aggressive
243,18-25,Medium,Wealth Accumulation,Aggressive,58,14,18,9,0,1,High-Risk Aggressive
244,18-25,Medium-High,Retirement,Conservative,35,41,7,2,3,12,Low-Risk Preservation
245,46-55,Low,Home Purchase,Conservative,59,14,10,2,3,12,Low-Risk Preservation
246,36-45,High,Short-term Savings,Aggressive,16,56,9,19,0,0,High-Risk Aggressive
247,65+,Medium,Home Purchase,Moderate-Conservative,48,36,11,3,0,2,Conservative Growth
248,56-65,Medium-Low,Retirement,Aggressive,19,41,39,1,0,0,High-Risk Aggressive
249,36-45,Medium-Low,Short-term Savings,Aggressive,39,20,13,13,7,8,High-Risk Aggressive
250,46-55,Medium,Home Purchase,Balanced,14,69,8,9,0,0,Balanced Growth
251,46-55,Medium-Low,Education,Balanced,5,34,31,27,0,3,Balanced Growth
252,36-45,Medium-High,Retirement,Balanced,9,68,12,9,0,2,Balanced Growth
253,46-55,Low,Retirement,Moderate-Conservative,21,50,14,0,0,15,Conservative Growth
254,36-45,Medium-High,Retirement,Moderate-Conservative,82,14,0,2,2,0,Conservative Growth
255,26-35,Medium-Low,Education,Aggressive,50,5,26,0,17,2,High-Risk Aggressive
256,36-45,High,Education,Balanced,34,16,45,2,0,3,Balanced Growth
257,36-45,Low,Wealth Accumulation,Moderate-Conservative,72,11,1,13,1,2,Conservative Growth
258,46-55,Low,Home Purchase,Conservative,36,28,2,10,0,24,Low-Risk Preservation
259,46-55,Medium,Wealth Accumulation,Aggressive,93,4,3,0,0,0,High-Risk Aggressive
260,18-25,Medium,Home Purchase,Moderate-Aggressive,44,54,1,0,1,0,Aggressive Growth
261,18-25,High,Education,Aggressive,96,2,1,0,1,0,High-Risk Aggressive
262,26-35,Low,Education,Moderate-Aggressive,73,10,4,10,3,0,Aggressive Growth
263,18-25,High,Wealth Accumulation,Balanced,57,34,6,2,0,1,Balanced Growth
264,36-45,Medium,Short-term Savings,Moderate-Aggressive,50,5,10,27,3,5,Aggressive Growth
265,46-55,Medium,Wealth Accumulation,Balanced,23,53,5,8,6,5,Balanced Growth
266,18-25,Low,Home Purchase,Conservative,63,25,4,5,3,0,Low-Risk Preservation
267,18-25,Medium-High,Wealth Accumulation,Moderate-Aggressive,80,9,2,9,0,0,Aggressive Growth
268,26-35,Medium-Low,Retirement,Aggressive,3,77,18,1,0,1,High-Risk Aggressive
269,65+,Medium,Home Purchase,Balanced,34,16,36,14,0,0,Balanced Growth
270,26-35,Medium,Home Purchase,Aggressive,27,26,31,15,1,0,High-Risk Aggressive
271,36-45,Medium-High,Short-term Savings,Moderate-Conservative,58,27,7,1,6,1,Conservative Growth
272,46-55,Medium-High,Education,Balanced,55,33,0,5,3,4,Balanced Growth
273,26-35,High,Home Purchase,Moderate-Aggressive,0,87,5,6,0,2,Aggressive Growth
274,18-25,High,Education,Balanced,83,0,10,7,0,0,Balanced Growth
275,46-55,Medium-Low,Wealth Accumulation,Aggressive,3,27,4,31,25,10,High-Risk Aggressive
276,46-55,Medium-Low,Retirement,Conservative,57,21,17,4,0,1,Low-Risk Preservation
277,18-25,Low,Short-term Savings,Balanced,71,10,18,0,1,0,Balanced Growth
278,26-35,High,Education,Moderate-Aggressive,77,7,3,6,4,3,Aggressive Growth
279,18-25,Medium,Home Purchase,Moderate-Conservative,96,1,3,0,0,0,Conservative Growth
280,65+,High,Education,Conservative,57,27,9,0,0,7,Low-Risk Preservation
281,46-55,Medium,Home Purchase,Moderate-Conservative,16,47,14,11,12,0,Conservative Growth
282,56-65,Medium-High,Education,Balanced,20,48,10,11,4,7,Balanced Growth
283,56-65,High,Home Purchase,Aggressive,58,29,10,2,0,1,High-Risk Aggressive
284,36-45,Medium-High,Wealth Accumulation,Aggressive,54,27,8,10,1,0,High-Risk Aggressive
285,18-25,Medium-Low,Home Purchase,Moderate-Aggressive,17,46,29,6,2,0,Aggressive Growth
286,18-25,Medium-Low,Home Purchase,Aggressive,53,9,14,3,13,8,High-Risk Aggressive
287,36-45,Low,Retirement,Conservative,24,57,6,11,0,2,Low-Risk Preservation
288,36-45,High,Home Purchase,Aggressive,61,2,36,0,1,0,High-Risk Aggressive
289,36-45,Medium-High,Retirement,Moderate-Aggressive,4,62,32,1,1,0,Aggressive Growth
290,46-55,Medium,Short-term Savings,Balanced,84,7,2,7,0,0,Balanced Growth
291,65+,Medium-Low,Retirement,Balanced,87,2,4,6,1,0,Balanced Growth
292,18-25,Medium-Low,Wealth Accumulation,Aggressive,37,13,35,5,1,9,High-Risk Aggressive
293,46-55,Medium,Retirement,Moderate-Conservative,6,65,2,10,4,13,Conservative Growth
294,36-45,Medium-High,Short-term Savings,Balanced,42,23,28,6,0,1,Balanced Growth
295,18-25,Medium-High,Wealth Accumulation,Aggressive,73,22,0,5,0,0,High-Risk Aggressive
296,46-55,High,Education,Moderate-Aggressive,9,23,67,0,1,0,Aggressive Growth
297,65+,High,Education,Aggressive,96,1,1,2,0,0,High-Risk Aggressive
298,46-55,Low,Retirement,Balanced,32,68,0,0,0,0,Balanced Growth
299,65+,Medium-Low,Retirement,Moderate-Aggressive,94,4,1,0,1,0,Aggressive Growth
300,36-45,High,Short-term Savings,Aggressive,20,25,21,3,30,1,High-Risk Aggressive
301,65+,Medium-High,Short-term Savings,Conservative,76,16,8,0,0,0,Low-Risk Preservation
302,18-25,Medium,Home Purchase,Moderate-Aggressive,77,20,1,2,0,0,Aggressive Growth
